"","focalid","role","dyadid","outcome","focalcode","partcode","obs"
"568",319,2,3192,1.16666666666667,1,0,31922
"569",319,1,3193,2.66666666666667,0,1,31931
"570",319,2,3193,2.16666666666667,1,0,31932
"571",321,1,3211,1.16666666666667,0,1,32111
"572",321,2,3211,1.83333333333333,1,0,32112
"573",321,1,3212,1,0,1,32121
"574",321,2,3212,1,1,0,32122
"575",321,1,3213,1.16666666666667,0,1,32131
"576",321,2,3213,1.66666666666667,1,0,32132
"577",322,1,3221,1.33333333333333,0,1,32211
"578",322,2,3221,1.5,1,0,32212
"579",322,1,3222,1.33333333333333,0,1,32221
"580",322,2,3222,2.16666666666667,1,0,32222
"581",322,1,3223,1.16666666666667,0,1,32231
"582",322,2,3223,1.33333333333333,1,0,32232
"583",325,1,3251,1,0,1,32511
"584",325,2,3251,1.16666666666667,1,0,32512
"585",325,1,3252,1.5,0,1,32521
"586",325,2,3252,1.33333333333333,1,0,32522
"587",325,1,3253,1,0,1,32531
"588",325,2,3253,1,1,0,32532
"589",328,1,3281,1,0,1,32811
"590",328,2,3281,1.83333333333333,1,0,32812
"591",328,1,3282,1.16666666666667,0,1,32821
"592",328,2,3282,3.16666666666667,1,0,32822
"593",328,1,3283,1.33333333333333,0,1,32831
"594",328,2,3283,1.66666666666667,1,0,32832
"595",329,1,3291,3.5,0,1,32911
"596",329,2,3291,1,1,0,32912
"597",329,1,3292,2.5,0,1,32921
"598",329,2,3292,3.33333333333333,1,0,32922
"599",329,1,3293,2.16666666666667,0,1,32931
"600",329,2,3293,2,1,0,32932
"601",333,1,3331,2,0,1,33311
"602",333,2,3331,1.16666666666667,1,0,33312
"603",333,1,3332,2,0,1,33321
"604",333,2,3332,1,1,0,33322
"605",333,1,3333,2.16666666666667,0,1,33331
"606",333,2,3333,1,1,0,33332
"607",337,1,3371,1.16666666666667,0,1,33711
"608",337,2,3371,1,1,0,33712
"609",337,1,3372,2.83333333333333,0,1,33721
"610",337,2,3372,1.5,1,0,33722
"611",337,1,3373,2.33333333333333,0,1,33731
"612",337,2,3373,1.5,1,0,33732
"613",338,1,3381,1,0,1,33811
"614",338,2,3381,1,1,0,33812
"615",338,1,3382,1,0,1,33821
"616",338,2,3382,1.16666666666667,1,0,33822
"617",338,1,3383,1,0,1,33831
"618",338,2,3383,1.66666666666667,1,0,33832
"619",339,1,3391,1.16666666666667,0,1,33911
"620",339,2,3391,1.5,1,0,33912
"621",339,1,3392,1.33333333333333,0,1,33921
"622",339,2,3392,1.5,1,0,33922
"623",339,1,3393,1.66666666666667,0,1,33931
"624",339,2,3393,1,1,0,33932
"625",343,1,3431,2,0,1,34311
"626",343,2,3431,2.33333333333333,1,0,34312
"627",343,1,3432,2.83333333333333,0,1,34321
"628",343,2,3432,1.5,1,0,34322
"629",343,1,3433,3.33333333333333,0,1,34331
"630",343,2,3433,2.16666666666667,1,0,34332
"631",344,1,3441,2.33333333333333,0,1,34411
"632",344,2,3441,1.16666666666667,1,0,34412
"633",344,1,3442,2.16666666666667,0,1,34421
