"focalid","role","dyadid","outcome","focalcode","partcode","obs"
344,1,3441,2.33333333333333,0,1,34411
344,2,3441,1.16666666666667,1,0,34412
344,1,3442,2.16666666666667,0,1,34421
344,2,3442,1.66666666666667,1,0,34422
344,1,3443,2.16666666666667,0,1,34431
344,2,3443,1.33333333333333,1,0,34432
347,1,3471,4,0,1,34711
347,2,3471,2.33333333333333,1,0,34712
347,1,3472,3.66666666666667,0,1,34721
347,2,3472,2.33333333333333,1,0,34722
347,1,3473,2.5,0,1,34731
347,2,3473,2.83333333333333,1,0,34732
349,1,3491,1.66666666666667,0,1,34911
349,2,3491,1,1,0,34912
349,1,3492,2.16666666666667,0,1,34921
349,2,3492,2.16666666666667,1,0,34922
349,1,3493,1,0,1,34931
349,2,3493,1.33333333333333,1,0,34932
350,1,3501,1,0,1,35011
350,2,3501,1,1,0,35012
350,1,3502,1,0,1,35021
350,2,3502,1,1,0,35022
350,1,3503,2,0,1,35031
350,2,3503,1,1,0,35032
353,1,3531,2.83333333333333,0,1,35311
353,2,3531,1.66666666666667,1,0,35312
353,1,3532,1.5,0,1,35321
353,2,3532,1.83333333333333,1,0,35322
353,1,3533,3.66666666666667,0,1,35331
353,2,3533,1.83333333333333,1,0,35332
354,1,3541,2.66666666666667,0,1,35411
354,2,3541,2.16666666666667,1,0,35412
354,1,3542,2.33333333333333,0,1,35421
354,2,3542,1.33333333333333,1,0,35422
354,1,3543,2.33333333333333,0,1,35431
354,2,3543,1.66666666666667,1,0,35432
355,1,3551,1.5,0,1,35511
355,2,3551,1.5,1,0,35512
355,1,3552,2.33333333333333,0,1,35521
355,2,3552,1.16666666666667,1,0,35522
355,1,3553,1.16666666666667,0,1,35531
355,2,3553,1.16666666666667,1,0,35532
356,1,3561,4,0,1,35611
356,2,3561,3.16666666666667,1,0,35612
356,1,3562,3.33333333333333,0,1,35621
356,2,3562,1.83333333333333,1,0,35622
356,1,3563,1,0,1,35631
356,2,3563,2,1,0,35632
362,1,3621,1,0,1,36211
362,2,3621,1.33333333333333,1,0,36212
362,1,3622,1.33333333333333,0,1,36221
362,2,3622,1.16666666666667,1,0,36222
362,1,3623,1.83333333333333,0,1,36231
362,2,3623,1,1,0,36232
363,1,3631,2.16666666666667,0,1,36311
363,2,3631,2.66666666666667,1,0,36312
363,1,3632,2.16666666666667,0,1,36321
363,2,3632,2,1,0,36322
363,1,3633,1.33333333333333,0,1,36331
363,2,3633,1,1,0,36332
364,1,3641,1,0,1,36411
364,2,3641,1.16666666666667,1,0,36412
364,1,3642,1.33333333333333,0,1,36421
364,2,3642,2.83333333333333,1,0,36422
364,1,3643,1.66666666666667,0,1,36431
364,2,3643,1.16666666666667,1,0,36432
366,1,3661,1.16666666666667,0,1,36611
366,2,3661,2.33333333333333,1,0,36612
366,1,3662,2.16666666666667,0,1,36621
366,2,3662,1.5,1,0,36622
366,1,3663,3.16666666666667,0,1,36631
366,2,3663,2,1,0,36632
367,1,3671,1,0,1,36711
367,2,3671,1.5,1,0,36712
367,1,3672,1.33333333333333,0,1,36721
367,2,3672,1,1,0,36722
367,1,3673,1.83333333333333,0,1,36731
367,2,3673,1,1,0,36732
368,1,3681,1.16666666666667,0,1,36811
368,2,3681,2.5,1,0,36812
368,1,3682,1.33333333333333,0,1,36821
368,2,3682,1.15866084425036,1,0,36822
368,1,3683,1.33333333333333,0,1,36831
368,2,3683,1.83333333333333,1,0,36832
370,1,3701,1.66666666666667,0,1,37011
370,2,3701,2,1,0,37012
370,1,3702,2.83333333333333,0,1,37021
370,2,3702,1.33333333333333,1,0,37022
370,1,3703,2.33333333333333,0,1,37031
370,2,3703,1.5,1,0,37032
373,1,3731,1.33333333333333,0,1,37311
373,2,3731,1.16666666666667,1,0,37312
373,1,3732,1.16666666666667,0,1,37321
373,2,3732,1,1,0,37322
373,1,3733,2.66666666666667,0,1,37331
373,2,3733,1.5,1,0,37332
375,1,3751,1,0,1,37511
375,2,3751,2,1,0,37512
375,1,3752,2,0,1,37521
